Production Line Tag,Manufactured Part Code,Shift Date,Gross Quantity Produced,Conforming Quality Qty,Unplanned Downtime Duration
LIN-WLD-02-10,PRD-PLT-005-10,2024-12-13,1183,1162,41
LIN-CNC-02,PRD-FLG-880,2026-01-13,1845,1758,25
LIN-PRS-01-6,PRD-PLT-005-6,2025-01-02,3108,3031,78
LIN-CNC-02,PRD-FLG-880,2025-05-13,1925,1831,40
LIN-CNC-01-8,PRD-VAL-101-8,2024-05-20,1991,1827,30
LIN-EDR-02,PRD-MOT-500,2024-06-26,910,897,99
LIN-PRS-01-6,PRD-BRK-220-6,2025-04-29,2459,2386,50 min
LIN-PRS-01-8,PRD-PLT-005-8,2025-07-25,4020,3782,8
LIN-PNT-01-9,PRD-HSG-450-9,2024-07-18,3457,3446,24
LIN-CNC-02,PRD-BRK-220,2026-04-21,2631,2416,85
LIN-CNC-01-10,PRD-FLG-880-10,2024-02-09,1798,1777,38 min
LIN-CNC-01-4,PRD-FLG-880-4,2025-11-14,2029,2005,22
LIN-EDR-02-4,PRD-MOT-500-4,2025-08-28,1372,1303,67 mins
LIN-PNT-01-8,PRD-FLG-880-8,2024-03-14,3236,3063,15
LIN-CNC-02-7,PRD-BRK-220-7,2025-06-14,684,654,27 min
LIN-CNC-02-7,PRD-FLG-880-7,2024-07-23,1868,1831,17
LIN-EDR-01,PRD-STA-320,2024-08-02,1173,1152,15
LIN-WLD-02-9,PRD-CHS-010-9,2024-08-23,942,889,29 min
LIN-PNT-01-5,PRD-HSG-450-5,2024-09-24,2617,2479,2.2 hrs
LIN-EDR-01-10,PRD-STA-320-10,2026-04-07,1091,1059,8
LIN-EDR-02-3,PRD-MOT-500-3,2025-03-05,953,922,95
LIN-WLD-02-4,PRD-PLT-005-4,2024-08-26,1075,1071,60 min
LIN-PRS-01-9,PRD-PLT-005-9,2026-03-16,2338,2227,19 min
LIN-CNC-01-8,PRD-VAL-101-8,2024-04-25,1931,1770,48 min
LIN-PNT-01-10,PRD-HSG-450-10,2025-11-11,2126,2089,39
LIN-CNC-02-7,PRD-BRK-220-7,2025-08-23,878,865,5
LIN-EDR-01-9,PRD-STA-320-9,2025-01-21,1556,1524,17
LIN-PRS-01-3,PRD-BRK-220-3,2024-06-10,3039,2993,44
LIN-EDR-02-5,PRD-MOT-500-5,2024-07-19,1388,1355,3.4 hrs
LIN-WLD-02-6,PRD-CHS-010-6,2026-05-14,876,867,10
LIN-WLD-01-3,PRD-CHS-010-3,2026-05-28,777,759,55 min
LIN-PNT-01-10,PRD-FLG-880-10,2025-09-01,1969,1911,2.3 hrs
LIN-CNC-02-5,PRD-BRK-220-5,2024-05-15,1871,1759,110 mins
LIN-CNC-02-9,PRD-FLG-880-9,2025-04-08,2482,2264,22
LIN-WLD-02-2,PRD-PLT-005-2,2026-05-26,1135,1114,213 mins
LIN-EDR-02,PRD-MOT-500,2025-05-15,1186,1145,112
LIN-CNC-01-10,PRD-VAL-101-10,2026-03-31,2160,2010,14 min
LIN-PNT-01,PRD-FLG-880,2024-04-17,3534,3294,13
LIN-WLD-02-3,PRD-PLT-005-3,2024-05-13,902,855,44
LIN-WLD-01-2,PRD-CHS-010-2,2025-06-19,881,852,3 min
LIN-WLD-01-5,PRD-CHS-010-5,2026-06-26,1048,968,15 min
LIN-CNC-02-4,PRD-BRK-220-4,2024-01-04,2423,2341,5 min
LIN-EDR-01,PRD-STA-320,2025-06-27,1251,1135,130
LIN-EDR-02-3,PRD-MOT-500-3,2025-04-30,1643,1545,20
LIN-CNC-01-8,PRD-FLG-880-8,2025-03-30,422,413,15 min
LIN-CNC-01,PRD-FLG-880,2025-10-01,2473,2259,28 min
LIN-WLD-02-6,PRD-CHS-010-6,2024-07-15,1105,1072,17 min
LIN-PNT-01-6,PRD-HSG-450-6,2024-05-08,2663,2519,3.1 hrs
LIN-WLD-01-3,PRD-CHS-010-3,2025-10-31,1078,1056,7
LIN-PRS-01-7,PRD-BRK-220-7,2024-02-26,2817,2399,19
LIN-PRS-01-3,PRD-BRK-220-3,2024-08-27,2787,2736,11 min
LIN-CNC-02-7,PRD-FLG-880-7,2025-01-14,2118,2076,53 min
LIN-PNT-01-7,PRD-HSG-450-7,2026-03-27,2664,2565,1.9 hrs
LIN-PNT-01-6,PRD-FLG-880-6,2024-06-05,2370,2242,130
LIN-CNC-01-3,PRD-FLG-880-3,2024-03-21,2262,2141,2
LIN-WLD-01-3,PRD-CHS-010-3,2025-01-01,795,778,2 min
LIN-EDR-01-6,PRD-STA-320-6,2025-07-02,1624,1425,99
LIN-PRS-01-4,PRD-BRK-220-4,2025-01-20,3499,3489,32 min
LIN-WLD-02-7,PRD-CHS-010-7,2024-05-08,1297,1261,152 mins
LIN-PRS-01-3,PRD-BRK-220-3,2024-06-17,3143,2905,19
LIN-EDR-01-9,PRD-STA-320-9,2024-04-18,1176,1100,11 min
LIN-PNT-01,PRD-FLG-880,2024-12-20,3012,2972,5
LIN-PRS-01-8,PRD-BRK-220-8,2024-09-05,3606,3139,3.5 hrs
LIN-WLD-02-9,PRD-PLT-005-9,2025-02-01,369,349,40 min
LIN-PRS-01,PRD-BRK-220,2026-04-07,2699,2657,27
LIN-WLD-02-3,PRD-CHS-010-3,2024-05-21,1209,1197,-
LIN-CNC-02-3,PRD-BRK-220-3,2024-12-11,2492,2281,8
LIN-EDR-02-6,PRD-MOT-500-6,2024-04-08,1231,1217,117
LIN-PRS-01-8,PRD-PLT-005-8,2026-05-05,3573,3528,10 min
LIN-WLD-02-9,PRD-PLT-005-9,2025-06-29,350,339,2.9 hrs
LIN-CNC-01-8,PRD-FLG-880-8,2024-01-11,1545,1490,1.3 hrs
LIN-WLD-02-5,PRD-CHS-010-5,2026-01-15,1356,1313,103
LIN-EDR-01-5,PRD-STA-320-5,2026-05-19,1254,1248,18 min
LIN-WLD-02-7,PRD-CHS-010-7,2025-01-20,1263,1231,176 mins
LIN-EDR-01-7,PRD-STA-320-7,2025-11-05,1422,1405,60
LIN-CNC-01-3,PRD-VAL-101-3,2024-12-12,2267,2195,51 min
LIN-PRS-01,PRD-BRK-220,2024-03-25,3272,3204,80
LIN-CNC-01-2,PRD-FLG-880-2,2025-03-31,2281,2211,17 min
LIN-CNC-02-7,PRD-FLG-880-7,2025-01-22,1605,1567,98 mins
LIN-PRS-01-9,PRD-PLT-005-9,2024-03-01,2855,2766,41 min
LIN-WLD-02-7,PRD-PLT-005-7,2024-10-18,1120,1079,160
LIN-EDR-01-10,PRD-STA-320-10,2025-10-10,899,873,52
LIN-CNC-01-10,PRD-VAL-101-10,2024-01-26,2499,2290,3.3 hrs
LIN-EDR-02-9,PRD-MOT-500-9,2025-04-15,1727,1690,36 min
LIN-PNT-01-5,PRD-HSG-450-5,2024-04-24,2659,2609,4 min
LIN-WLD-02-3,PRD-PLT-005-3,2025-05-09,1107,1092,8
LIN-CNC-01-5,PRD-VAL-101-5,2025-02-26,1996,1951,104 mins
LIN-CNC-01-5,PRD-FLG-880-5,2024-02-21,1830,1668,4 min
LIN-CNC-01-2,PRD-FLG-880-2,2026-05-22,1853,1786,2.4 hrs
LIN-CNC-02-10,PRD-BRK-220-10,2024-02-27,1669,1564,87
LIN-EDR-01-6,PRD-STA-320-6,2025-04-08,1073,1028,27
LIN-EDR-02-9,PRD-MOT-500-9,2024-10-24,1368,1304,48
LIN-WLD-01-8,PRD-CHS-010-8,2025-10-24,752,734,13
LIN-EDR-02-6,PRD-MOT-500-6,2025-04-02,1030,983,15
LIN-CNC-02,PRD-BRK-220,2025-05-16,2452,2323,40
LIN-WLD-01-4,PRD-CHS-010-4,2026-06-24,784,722,59
LIN-PNT-01,PRD-HSG-450,2024-06-29,939,929,5.5 hrs
LIN-PRS-01-4,PRD-PLT-005-4,2025-09-11,3079,2941,35
LIN-WLD-02,PRD-CHS-010,2026-06-25,819,793,188 mins
LIN-WLD-02-10,PRD-PLT-005-10,2024-09-23,904,890,9 min
LIN-EDR-02-9,PRD-MOT-500-9,2025-07-29,1296,1244,94 mins
LIN-PRS-01-2,PRD-BRK-220-2,2026-03-18,2445,2363,128
LIN-EDR-02-2,PRD-MOT-500-2,2024-04-26,1067,1043,14 min
LIN-CNC-02-9,PRD-FLG-880-9,2026-05-18,2832,2765,95
LIN-WLD-02,PRD-PLT-005,2025-03-05,1032,995,2
LIN-PNT-01-3,PRD-FLG-880-3,2025-02-13,3094,3043,34
LIN-PNT-01,PRD-HSG-450,2026-05-21,3144,3015,58
LIN-PNT-01,PRD-HSG-450,2024-02-04,747,703,37
LIN-PNT-01-4,PRD-HSG-450-4,2024-10-26,1086,1063,33
LIN-CNC-02-9,PRD-FLG-880-9,2025-10-27,2059,2029,6
LIN-CNC-02-8,PRD-FLG-880-8,2024-01-31,2736,2683,1.9 hrs
LIN-PNT-01-2,PRD-HSG-450-2,2025-01-30,2504,2391,24
LIN-EDR-02-10,PRD-MOT-500-10,2024-11-14,1538,1511,45
LIN-EDR-01-6,PRD-STA-320-6,2025-05-19,1089,1049,134 mins
LIN-PRS-01-3,PRD-PLT-005-3,2025-03-20,2396,2371,45
LIN-PNT-01-8,PRD-FLG-880-8,2025-12-12,2237,2164,78
LIN-CNC-02,PRD-FLG-880,2024-05-24,2318,2219,122
LIN-EDR-01-3,PRD-STA-320-3,2025-04-23,1180,1153,33
